Date : 2023-12-16 21:26:54
Directory : /Users/richardtozer/dev/projects/daufootytipping
Total : 107 files,  9960 codes, 696 comments, 655 blanks, all 11311 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         37 |      7,235 |        401 |        353 |      7,989 |
| XML        |         28 |      1,516 |         66 |         31 |      1,613 |
| C++        |         16 |        561 |        121 |        182 |        864 |
| JSON       |          9 |        340 |          1 |          5 |        346 |
| Groovy     |          3 |         96 |          7 |         22 |        125 |
| Swift      |          6 |         81 |          7 |         21 |        109 |
| YAML       |          3 |         54 |         77 |         13 |        144 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| Markdown   |          2 |         31 |          0 |         20 |         51 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |        107 |      9,960 |        696 |        655 |     11,311 |
| . (Files)                                                                                                             |          6 |        105 |         78 |         32 |        215 |
| android                                                                                                               |         13 |        224 |         54 |         34 |        312 |
| android (Files)                                                                                                       |          3 |         48 |          2 |         11 |         61 |
| android/app                                                                                                           |          9 |        171 |         52 |         22 |        245 |
| android/app (Files)                                                                                                   |          2 |        106 |          5 |         12 |        123 |
| android/app/src                                                                                                       |          7 |         65 |         47 |         10 |        122 |
| android/app/src/debug                                                                                                 |          1 |          3 |          4 |          1 |          8 |
| android/app/src/main                                                                                                  |          5 |         59 |         39 |          8 |        106 |
| android/app/src/main (Files)                                                                                          |          1 |         33 |          7 |          2 |         42 |
| android/app/src/main/res                                                                                              |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                                     |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                                 |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                       |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                                 |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                               |          1 |          3 |          4 |          1 |          8 |
| android/gradle                                                                                                        |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                                |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                |         18 |      1,044 |         17 |         18 |      1,079 |
| assets/teams                                                                                                          |         18 |      1,044 |         17 |         18 |      1,079 |
| ios                                                                                                                   |          9 |        248 |          4 |         14 |        266 |
| ios (Files)                                                                                                           |          1 |          7 |          0 |          0 |          7 |
| ios/Runner                                                                                                            |          7 |        234 |          2 |         10 |        246 |
| ios/Runner (Files)                                                                                                    |          2 |         22 |          0 |          4 |         26 |
| ios/Runner/Assets.xcassets                                                                                            |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                         |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                       |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                                 |          2 |         64 |          2 |          2 |         68 |
| ios/RunnerTests                                                                                                       |          1 |          7 |          2 |          4 |         13 |
| lib                                                                                                                   |         37 |      7,235 |        401 |        353 |      7,989 |
| lib (Files)                                                                                                           |          3 |        112 |         16 |         18 |        146 |
| lib/models                                                                                                            |         10 |        349 |         61 |         51 |        461 |
| lib/pages                                                                                                             |         21 |      2,178 |        312 |        270 |      2,760 |
| lib/pages/admin_daucomps                                                                                              |          6 |        595 |        199 |         96 |        890 |
| lib/pages/admin_teams                                                                                                 |          3 |        368 |         34 |         43 |        445 |
| lib/pages/admin_tippers                                                                                               |          3 |        534 |         60 |         59 |        653 |
| lib/pages/user_auth                                                                                                   |          1 |         77 |          5 |          7 |         89 |
| lib/pages/user_home                                                                                                   |          8 |        604 |         14 |         65 |        683 |
| lib/services                                                                                                          |          3 |      4,596 |         12 |         14 |      4,622 |
| linux                                                                                                                 |          5 |        106 |         27 |         38 |        171 |
| linux (Files)                                                                                                         |          3 |         86 |         18 |         27 |        131 |
| linux/flutter                                                                                                         |          2 |         20 |          9 |         11 |         40 |
| macos                                                                                                                 |          7 |        471 |          5 |         16 |        492 |
| macos (Files)                                                                                                         |          1 |          7 |          0 |          0 |          7 |
| macos/Flutter                                                                                                         |          1 |         26 |          3 |          4 |         33 |
| macos/Runner                                                                                                          |          4 |        431 |          0 |          8 |        439 |
| macos/Runner (Files)                                                                                                  |          2 |         20 |          0 |          6 |         26 |
| macos/Runner/Assets.xcassets                                                                                          |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Assets.xcassets/AppIcon.appiconset                                                                       |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Base.lproj                                                                                               |          1 |        343 |          0 |          1 |        344 |
| macos/RunnerTests                                                                                                     |          1 |          7 |          2 |          4 |         13 |
| web                                                                                                                   |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                                               |         10 |        454 |         94 |        143 |        691 |
| windows/flutter                                                                                                       |          2 |         26 |          9 |         11 |         46 |
| windows/runner                                                                                                        |          8 |        428 |         85 |        132 |        645 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                              | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/richardtozer/dev/projects/daufootytipping/README.md                                                            | Markdown   |         28 |          0 |         18 |         46 |
| /Users/richardtozer/dev/projects/daufootytipping/analysis_options.yaml                                                | YAML       |          3 |         22 |          4 |         29 |
| /Users/richardtozer/dev/projects/daufootytipping/android/app/build.gradle                                             | Groovy     |         51 |          5 |         12 |         68 |
| /Users/richardtozer/dev/projects/daufootytipping/android/app/google-services.json                                     | JSON       |         55 |          0 |          0 |         55 |
| /Users/richardtozer/dev/projects/daufootytipping/android/app/src/debug/AndroidManifest.xml                            | XML        |          3 |          4 |          1 |          8 |
| /Users/richardtozer/dev/projects/daufootytipping/android/app/src/main/AndroidManifest.xml                             | XML        |         33 |          7 |          2 |         42 |
| /Users/richardtozer/dev/projects/daufootytipping/android/app/src/main/res/drawable-v21/launch_background.xml          | XML        |          4 |          7 |          2 |         13 |
| /Users/richardtozer/dev/projects/daufootytipping/android/app/src/main/res/drawable/launch_background.xml              | XML        |          4 |          7 |          2 |         13 |
| /Users/richardtozer/dev/projects/daufootytipping/android/app/src/main/res/values-night/styles.xml                     | XML        |          9 |          9 |          1 |         19 |
| /Users/richardtozer/dev/projects/daufootytipping/android/app/src/main/res/values/styles.xml                           | XML        |          9 |          9 |          1 |         19 |
| /Users/richardtozer/dev/projects/daufootytipping/android/app/src/profile/AndroidManifest.xml                          | XML        |          3 |          4 |          1 |          8 |
| /Users/richardtozer/dev/projects/daufootytipping/android/build.gradle                                                 | Groovy     |         29 |          2 |          5 |         36 |
| /Users/richardtozer/dev/projects/daufootytipping/android/gradle.properties                                            | Properties |          3 |          0 |          1 |          4 |
| /Users/richardtozer/dev/projects/daufootytipping/android/gradle/wrapper/gradle-wrapper.properties                     | Properties |          5 |          0 |          1 |          6 |
| /Users/richardtozer/dev/projects/daufootytipping/android/settings.gradle                                              | Groovy     |         16 |          0 |          5 |         21 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/Auckland_colours.svg                                    | XML        |         70 |          1 |          1 |         72 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/Brisbane_colours.svg                                    | XML        |         66 |          1 |          1 |         68 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/Canberra_colours.svg                                    | XML        |         68 |          1 |          2 |         71 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/Canterbury_colours.svg                                  | XML        |         62 |          1 |          1 |         64 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/Cronulla_colours.svg                                    | XML        |         69 |          1 |          1 |         71 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/Eastern_Suburbs_colours.svg                             | XML        |         69 |          1 |          1 |         71 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/Gold_Coast_Titans_colours.svg                           | XML        |         69 |          1 |          1 |         71 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/Manly_Sea_Eagles_colours.svg                            | XML        |         62 |          1 |          1 |         64 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/Melbourne_colours.svg                                   | XML        |         69 |          1 |          1 |         71 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/Newcastle_colours.svg                                   | XML        |         62 |          1 |          1 |         64 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/North_Queensland_colours.svg                            | XML        |         69 |          1 |          1 |         71 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/Parramatta_colours.svg                                  | XML        |         62 |          1 |          1 |         64 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/Penrith_Panthers_square_flag_icon_with_2020_colours.svg | XML        |         16 |          1 |          1 |         18 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/South_Sydney_colours.svg                                | XML        |         62 |          1 |          1 |         64 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/St._George_colours.svg                                  | XML        |         62 |          1 |          1 |         64 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/Wests_Tigers_colours.svg                                | XML        |         69 |          1 |          1 |         71 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl.svg                                                 | XML        |         37 |          1 |          1 |         39 |
