Date : 2024-01-05 20:02:42
Directory : /Users/richardtozer/dev/projects/daufootytipping
Total : 122 files,  10780 codes, 763 comments, 799 blanks, all 12342 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Dart         |         47 |      8,065 |        451 |        471 |      8,987 |
| XML          |         29 |      1,522 |         66 |         31 |      1,619 |
| C++          |         16 |        561 |        121 |        182 |        864 |
| JSON         |         10 |        238 |          1 |          6 |        245 |
| Gradle       |          3 |         99 |          7 |         25 |        131 |
| YAML         |          4 |         89 |         77 |         16 |        182 |
| Swift        |          6 |         89 |          7 |         21 |        117 |
| HTML         |          1 |         38 |         16 |          6 |         60 |
| Shell Script |          2 |         37 |         17 |         16 |         70 |
| Markdown     |          2 |         34 |          0 |         23 |         57 |
| Properties   |          2 |          8 |          0 |          2 |         10 |
+--------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |        122 |     10,780 |        763 |        799 |     12,342 |
| . (Files)                                                                                                             |          8 |        168 |         83 |         42 |        293 |
| android                                                                                                               |         14 |        233 |         54 |         37 |        324 |
| android (Files)                                                                                                       |          3 |         50 |          2 |         14 |         66 |
| android/app                                                                                                           |         10 |        178 |         52 |         22 |        252 |
| android/app (Files)                                                                                                   |          2 |        107 |          5 |         12 |        124 |
| android/app/src                                                                                                       |          8 |         71 |         47 |         10 |        128 |
| android/app/src/debug                                                                                                 |          1 |          3 |          4 |          1 |          8 |
| android/app/src/main                                                                                                  |          6 |         65 |         39 |          8 |        112 |
| android/app/src/main (Files)                                                                                          |          1 |         33 |          7 |          2 |         42 |
| android/app/src/main/res                                                                                              |          5 |         32 |         32 |          6 |         70 |
| android/app/src/main/res/drawable                                                                                     |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                                 |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/mipmap-anydpi-v26                                                                            |          1 |          6 |          0 |          0 |          6 |
| android/app/src/main/res/values                                                                                       |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                                 |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                               |          1 |          3 |          4 |          1 |          8 |
| android/gradle                                                                                                        |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                                |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                |         18 |      1,044 |         17 |         18 |      1,079 |
