"filename", "language", "XML", "Shell Script", "JSON", "YAML", "Dart", "Markdown", "Gradle", "Properties", "HTML", "C++", "JavaScript", "CSS", "Objective-C", "Swift", "Java", "Batch", "PowerShell", "Groovy", "Ruby", "TypeScript", "JSON with Comments", "WebAssembly Text Format", "comment", "blank", "total"
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/AssetManifest.bin.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/AssetManifest.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/FontManifest.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/afl.svg", "XML", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 39
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/afl/blues.svg", "XML", 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 134
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/afl/bombers.svg", "XML", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 59
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/afl/bulldogs.svg", "XML", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/afl/cats.svg", "XML", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 79
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/afl/crows.svg", "XML", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 77
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/afl/demons.svg", "XML", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 71
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/afl/dockers.svg", "XML", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 101
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/afl/eagles.svg", "XML", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/afl/giants.svg", "XML", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/afl/hawks.svg", "XML", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 87
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/afl/kagaroos.svg", "XML", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/afl/lions.svg", "XML", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/afl/magpies.svg", "XML", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 87
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/afl/power-old.svg", "XML", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 75
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/afl/power.svg", "XML", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/afl/saints.svg", "XML", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 55
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/afl/suns.svg", "XML", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 71
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/afl/swans.svg", "XML", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 77
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/afl/tigers.svg", "XML", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/nrl.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/nrl/Auckland_colours.svg", "XML", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 72
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/nrl/Brisbane_colours.svg", "XML", 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 191
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/nrl/Canberra_colours.svg", "XML", 322, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 323
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/nrl/Canterbury_colours.svg", "XML", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/nrl/Cronulla_colours.svg", "XML", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 71
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/nrl/Dolphins_colours.svg", "XML", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 75
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/nrl/Eastern_Suburbs_colours.svg", "XML", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 71
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/nrl/Gold_Coast_Titans_colours.svg", "XML", 220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 221
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/nrl/Manly_Sea_Eagles_colours.svg", "XML", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 64
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/assets/assets/teams/nrl/Melbourne_colours.svg", "XML", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 71
